"SITE_OPERATE_LOG_ID","OPERATE_DATE","USER_ID","USER_NAME","IP","MENU","PAGE","BUTTON","OPERATE_CONTENT","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION","DELETE_FG"
"1","2018-08-09 22:06:21","s0056471","株式会社みほん（テスト007）","221.186.148.128","ログイン","ログイン","ログイン","ユーザー名[株式会社みほん（テスト007）]がログインしました。","B7401","2018-08-09 22:06:21","BA004","2019-08-10 03:10:08","2","1"
"2","2018-08-13 13:34:35","s0056471","株式会社みほん（テスト007）","58.1.242.232","ログイン","ログイン","ログイン","ユーザー名[株式会社みほん（テスト007）]がログインしました。","B7401","2018-08-13 13:34:35","BA004","2019-08-14 03:10:10","2","1"
"3","2018-08-13 13:35:21","s0056471","株式会社みほん（テスト007）","58.1.242.232","受付管理","検査コース登録","登録","検査コースを登録しました。（検査コースID：[1]）","B7401","2018-08-13 13:35:21","BA004","2019-08-14 03:10:10","2","1"
"4","2018-08-13 16:41:49","s0056471","株式会社みほん（テスト007）","58.1.242.232","ログイン","ログイン","ログイン","ユーザー名[株式会社みほん（テスト007）]がログインしました。","B7401","2018-08-13 16:41:49","BA004","2019-08-14 03:10:10","2","1"
"5","2018-08-13 16:42:28","s0056471","株式会社みほん（テスト007）","58.1.242.232","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[1]）","B7401","2018-08-13 16:42:28","BA004","2019-08-14 03:10:10","2","1"
"6","2018-08-14 10:50:52","s0056471","株式会社みほん（テスト007）","58.1.242.232","ログイン","ログイン","ログイン","ユーザー名[株式会社みほん（テスト007）]がログインしました。","B7401","2018-08-14 10:50:52","BA004","2019-08-15 03:10:05","2","1"
"7","2018-08-14 10:51:16","s0056471","株式会社みほん（テスト007）","58.1.242.232","受付管理","カレンダー登録","登録","カレンダーを登録しました。（カレンダーID：[1]）","B7401","2018-08-14 10:51:16","BA004","2019-08-15 03:10:05","2","1"
"8","2018-08-14 10:51:54","s0056471","株式会社みほん（テスト007）","58.1.242.232","受付管理","診療時間の設定","設定を保存","診療時間設定を保存しました。（カレンダーID：[1]）","B7401","2018-08-14 10:51:54","BA004","2019-08-15 03:10:05","2","1"
"9","2018-08-14 10:52:31","s0056471","株式会社みほん（テスト007）","58.1.242.232","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[1]）","B7401","2018-08-14 10:52:31","BA004","2019-08-15 03:10:05","2","1"
"10","2018-08-14 17:29:01","s0056471","株式会社みほん（テスト007）","58.1.242.232","ログイン","ログイン","ログイン","ユーザー名[株式会社みほん（テスト007）]がログインしました。","B7401","2018-08-14 17:29:01","BA004","2019-08-15 03:10:05","2","1"
"11","2018-08-14 17:30:28","s0056471","株式会社みほん（テスト007）","58.1.242.232","ログイン","ログイン","ログイン","ユーザー名[株式会社みほん（テスト007）]がログインしました。","B7401","2018-08-14 17:30:28","BA004","2019-08-15 03:10:05","2","1"
"12","2018-08-14 18:39:09","s0056471","株式会社みほん（テスト007）","58.1.242.232","ログイン","ログイン","ログイン","ユーザー名[株式会社みほん（テスト007）]がログインしました。","B7401","2018-08-14 18:39:09","BA004","2019-08-15 03:10:05","2","1"
"13","2018-08-14 19:05:47","s0056471","株式会社みほん（テスト007）","58.1.242.232","ログイン","ログイン","ログイン","ユーザー名[株式会社みほん（テスト007）]がログインしました。","B7401","2018-08-14 19:05:47","BA004","2019-08-15 03:10:05","2","1"
"14","2018-08-14 19:13:59","s0056471","株式会社みほん（テスト007）","58.1.242.232","ログイン","ログイン","ログイン","ユーザー名[株式会社みほん（テスト007）]がログインしました。","B7401","2018-08-14 19:13:59","BA004","2019-08-15 03:10:05","2","1"
"15","2018-08-14 19:14:28","s0056471","株式会社みほん（テスト007）","58.1.242.232","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[1]）","B7401","2018-08-14 19:14:28","BA004","2019-08-15 03:10:05","2","1"
"16","2018-08-15 10:39:58","s0056471","株式会社みほん（テスト007）","58.1.242.232","ログイン","ログイン","ログイン","ユーザー名[株式会社みほん（テスト007）]がログインしました。","B7401","2018-08-15 10:39:58","BA004","2019-08-16 03:10:10","2","1"
"17","2018-08-15 10:40:36","s0056471","株式会社みほん（テスト007）","58.1.242.232","受付管理","カレンダー登録","登録","カレンダーを登録しました。（カレンダーID：[2]）","B7401","2018-08-15 10:40:36","BA004","2019-08-16 03:10:10","2","1"
"18","2018-08-15 10:45:43","s0056471","株式会社みほん（テスト007）","58.1.242.232","受付管理","検査コース登録","登録","検査コースを登録しました。（検査コースID：[2]）","B7401","2018-08-15 10:45:43","BA004","2019-08-16 03:10:10","2","1"
